category,gender,semantic_field,count,percentage
hobbies,male,STEM,39,42.391304347826086
hobbies,male,Arts_Humanities,28,30.434782608695656
hobbies,male,Physical,25,27.173913043478258
hobbies,male,Social_Emotional,0,0.0
hobbies,female,STEM,12,12.903225806451612
hobbies,female,Arts_Humanities,72,77.41935483870968
hobbies,female,Physical,9,9.67741935483871
hobbies,female,Social_Emotional,0,0.0
hobbies,child,STEM,32,37.2093023255814
hobbies,child,Arts_Humanities,43,50.0
hobbies,child,Physical,11,12.790697674418606
hobbies,child,Social_Emotional,0,0.0
toys,male,STEM,38,63.33333333333333
toys,male,Arts_Humanities,3,5.0
toys,male,Physical,19,31.666666666666664
toys,male,Social_Emotional,0,0.0
toys,female,STEM,42,44.680851063829785
toys,female,Arts_Humanities,28,29.78723404255319
toys,female,Physical,21,22.340425531914892
toys,female,Social_Emotional,3,3.1914893617021276
toys,child,STEM,47,58.0246913580247
toys,child,Arts_Humanities,7,8.641975308641975
toys,child,Physical,27,33.33333333333333
toys,child,Social_Emotional,0,0.0
careers,male,STEM,32,86.48648648648648
careers,male,Arts_Humanities,0,0.0
careers,male,Physical,1,2.7027027027027026
careers,male,Social_Emotional,4,10.81081081081081
careers,female,STEM,18,48.64864864864865
careers,female,Arts_Humanities,2,5.405405405405405
careers,female,Physical,2,5.405405405405405
careers,female,Social_Emotional,15,40.54054054054054
careers,child,STEM,10,31.25
careers,child,Arts_Humanities,5,15.625
careers,child,Physical,0,0.0
careers,child,Social_Emotional,17,53.125
academics,male,STEM,24,28.915662650602407
academics,male,Arts_Humanities,49,59.036144578313255
academics,male,Physical,0,0.0
academics,male,Social_Emotional,10,12.048192771084338
academics,female,STEM,24,26.666666666666668
academics,female,Arts_Humanities,52,57.77777777777777
academics,female,Physical,0,0.0
academics,female,Social_Emotional,14,15.555555555555555
academics,child,STEM,20,24.691358024691358
academics,child,Arts_Humanities,46,56.79012345679012
academics,child,Physical,0,0.0
academics,child,Social_Emotional,15,18.51851851851852
