gender,topic,count,percentage
male,1,27,25.961538461538463
male,2,8,7.6923076923076925
male,3,2,1.9230769230769231
male,4,23,22.115384615384613
male,5,8,7.6923076923076925
male,6,7,6.730769230769231
male,7,18,17.307692307692307
male,8,11,10.576923076923077
female,1,11,10.576923076923077
female,2,29,27.884615384615387
female,3,12,11.538461538461538
female,4,9,8.653846153846153
female,5,8,7.6923076923076925
female,6,8,7.6923076923076925
female,7,11,10.576923076923077
female,8,16,15.384615384615385
child,1,15,14.423076923076922
child,2,19,18.269230769230766
child,3,10,9.615384615384617
child,4,10,9.615384615384617
child,5,9,8.653846153846153
child,6,11,10.576923076923077
child,7,16,15.384615384615385
child,8,14,13.461538461538462
